internal_label,paper_label_ja,paper_label_en,definition,positive_count,negative_count,excluded_count,total_count,best_layer,best_auprc,source_file,evidence
Text,文字,Text,"written text, letters, or numbers",495,5056,0,5551,8,0.932532,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Face,顔,Face,a face,1010,4541,0,5551,10,0.965914,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Emotion,感情表出,Emotion (clear facial emotion),a face showing a clear emotion,190,5361,0,5551,9,0.528232,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Sound,発音性(音を発する),Sound-producing,an object producing sound,89,5462,0,5551,12,0.409948,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Smell,におい,Smell,an object with a noticeable smell,135,5416,0,5551,11,0.389536,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Taste,味覚(食べ物・飲み物),Taste (food/drink),food or drink that can be tasted,390,5161,0,5551,9,0.770049,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Touch,触感的特徴,Distinctive tactile quality,an object with a distinctive tactile quality,317,5234,0,5551,12,0.434494,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Motion,動き,Motion,an object or living being showing motion,557,4994,0,5551,8,0.512517,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Operability,操作可能性,Operability,an object designed to be operated by hand,342,5209,0,5551,11,0.583451,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Watchability,鑑賞対象性,Watchability,an object designed to be watched,1108,4443,0,5551,8,0.861898,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Touched,接触されている(画像内で),Touched (by a person/animal in the image),an object being touched by a person or animal,436,5115,0,5551,9,0.672005,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
Gazed,注視されている(画像内で),Gazed at (by a person/animal in the image),an object being looked at by a person or animal,252,5299,0,5551,9,0.390306,outputs/osie_probe_all12_full700/object_features_metadata.csv; outputs/osie_probe_all12_full700/probe_summary.csv,"positive_attributes/negative_attributes columns, exact split counted in this audit (object_features_metadata.csv); peak layer/value = argmax of probe_summary.csv metric==auprc, condition==all_objects, mean column"
