probe_type,label,mean_score_L1_L12,peak_score,peak_layer,prevalence,permutation_mean,mean_above_permutation,compact_group,rank_raw,rank_baseline_corrected
semantic_attribute,Face,0.899847,0.965914,10,0.181949,0.19133575000000003,0.7085112499999999,top3,1,2.0
semantic_attribute,Text,0.8126574166666667,0.932532,8,0.089173,0.10029849999999997,0.7123589166666666,top3,2,1.0
semantic_attribute,Watchability,0.7516106666666668,0.861898,8,0.199604,0.21448516666666664,0.5371255,top3,3,3.0
semantic_attribute,Taste,0.51968625,0.770049,9,0.070258,0.07554791666666667,0.4441383333333333,other,4,4.0
semantic_attribute,Touched,0.46625849999999996,0.672005,9,0.078544,0.08525424999999999,0.38100424999999993,other,5,5.0
semantic_attribute,Operability,0.423052,0.583451,11,0.061611,0.06632058333333334,0.3567314166666667,other,6,7.0
semantic_attribute,Emotion,0.39787375,0.528232,9,0.034228,0.0403955,0.35747825,other,7,6.0
semantic_attribute,Motion,0.3891893333333334,0.512517,8,0.100342,0.10495791666666666,0.2842314166666667,other,8,8.0
semantic_attribute,Touch,0.27714575,0.434494,12,0.057107,0.06299366666666666,0.21415208333333333,other,9,9.0
semantic_attribute,Smell,0.22890666666666667,0.389536,11,0.02432,0.028918750000000003,0.19998791666666668,bottom3,10,10.0
semantic_attribute,Gazed,0.20672066666666666,0.390306,9,0.045397,0.049704083333333336,0.15701658333333332,bottom3,11,11.0
semantic_attribute,Sound,0.17392,0.409948,12,0.016033,0.021147166666666665,0.15277283333333333,bottom3,12,12.0
lowlevel_feature,mean_luminance,0.8175538333333332,0.919191,3,,,,top3,1,
lowlevel_feature,mean_green,0.8144800833333333,0.916545,3,,,,top3,2,
lowlevel_feature,mean_red,0.8050976666666667,0.921835,3,,,,top3,3,
lowlevel_feature,mean_blue,0.7638180833333333,0.916945,3,,,,other,4,
lowlevel_feature,edge_strength,0.6916553333333333,0.844376,4,,,,other,5,
lowlevel_feature,mean_saturation,0.6203371666666666,0.873729,3,,,,bottom3,6,
lowlevel_feature,fine_texture,0.573943,0.764582,2,,,,bottom3,7,
lowlevel_feature,luminance_contrast,0.23611691666666668,0.355719,6,,,,bottom3,8,
